gene,astrocyte,Source
Lcn2,Pan,classic
Steap4,Pan,classic
S1pr3,Pan,classic
Timp1,Pan,classic
Hspb1,Pan,classic
Cxcl10,Pan,classic
Cd44,Pan,classic
Osmr,Pan,classic
Cp,Pan,classic
Serpina3n,Pan,classic
Aspg,Pan,classic
Vim,Pan,classic
Gfap,Pan,classic
H2-T23,A1,classic
Serping1,A1,classic
H2-D1,A1,classic
Ggta1,A1,classic
Iigp1,A1,classic
Gbp2,A1,classic
Fbln5,A1,classic
Ugt1a,A1,classic
Fkbp5,A1,classic
Psmb8,A1,classic
Srgn,A1,classic
Amigo2,A1,classic
Clcf1,A2,classic
Tgm1,A2,classic
Ptx3,A2,classic
S100a10,A2,classic
Sphk1,A2,classic
Cd109,A2,classic
Ptgs2,A2,classic
Emp1,A2,classic
Slc10a6,A2,classic
Tm4sf1,A2,classic
B3gnt5,A2,classic
Cd14,A2,classic
Aspg,Pan,prion
Cd44,Pan,prion
Cxcl10,Pan,prion
Gfap,Pan,prion
Gfap,Pan,prion
Gfap,Pan,prion
Hspb1,Pan,prion
Lcn2,Pan,prion
Osmr,Pan,prion
Serpina3n,Pan,prion
Serpina3m,Pan,prion
Serpina3f,Pan,prion
Timp1,Pan,prion
Vim,Pan,prion
A2m,A1,prion
B2m,A1,prion
C3,A1,prion
C4b,A1,prion
Chil1,A1,prion
Fbln5,A1,prion
Gbp2,A1,prion
Gbp3,A1,prion
Gbp6,A1,prion
Gbp10,A1,prion
Ggta1,A1,prion
H2-D1,A1,prion
H2-T23,A1,prion
Ifitm3,A1,prion
Ifitm6,A1,prion
Igtp,A1,prion
Iigp1,A1,prion
Irgm1,A1,prion
Psmb8,A1,prion
Serping1,A1,prion
Slc22a4,A1,prion
Anxa2,A2,prion
Anxa3,A2,prion
Cd14,A2,prion
Cd109,A2,prion
Emp1,A2,prion
Flnc,A2,prion
Hmox1,A2,prion
Icam1,A2,prion
Icam4,A2,prion
Lgals3,A2,prion
Sbno2,A2,prion
Tgm1,A2,prion
Tnfrsf12a,A2,prion
