gene,Microglia,Source
Apod,M2,top_markers
Flt1,M2,top_markers
Il20rb,M2,top_markers
Aldh1a2,M2,top_markers
Cdh1,M2,top_markers
Npvf,M2,top_markers
Itgb3,M2,top_markers
Clec10a,M2,top_markers
Ankrd55,M2,top_markers
Cxcr2,M2,top_markers
Egr2,M2,top_markers
Mgl2,M2,top_markers
Chil3,M2,top_markers
Gpc3,M2,top_markers
Retnla,M2,top_markers
Tmem26,M2,top_markers
Pdcd1lg2,M2,top_markers
Arg1,M2,top_markers
Igf2,M2,top_markers
Rnase2a,M2,top_markers
Cxcl1,M1,top_markers
Il6,M1,top_markers
Has2,M1,top_markers
Ptx3,M1,top_markers
Tnf,M1,top_markers
Cd69,M1,top_markers
Gbp2b,M1,top_markers
Gbp5,M1,top_markers
Gbp4,M1,top_markers
Gbp11,M1,top_markers
Clic5,M1,top_markers
Serpine1,M1,top_markers
Cxcl9,M1,top_markers
Nos2,M1,top_markers
Tnfsf15,M1,top_markers
Slamf7,M1,top_markers
Ifi205,M1,top_markers
Ifi214,M1,top_markers
Mx1,M1,top_markers
Ccl2,M2,classic_markers
Ccl17,M2,classic_markers
Ccl22,M2,classic_markers
Ccl24,M2,classic_markers
Il4,M2,classic_markers
Il10,M2,classic_markers
Il13,M2,classic_markers
Arg1,M2,classic_markers
Chil3,M2,classic_markers
Retnlb,M2,classic_markers
Csf1,M2,classic_markers
Fgf1,M2,classic_markers
Gdnf,M2,classic_markers
Igf1,M2,classic_markers
Tgfb1,M2,classic_markers
Ngf,M2,classic_markers
Nts,M2,classic_markers
Grn,M2,classic_markers
Cd163,M2,classic_markers
Mrc1,M2,classic_markers
Il6,M1,classic_markers
Il12a,M1,classic_markers
Il17a,M1,classic_markers
Il18,M1,classic_markers
Il23a,M1,classic_markers
Mmp9,M1,classic_markers
Mmp12,M1,classic_markers
Nos2,M1,classic_markers
Tspo,M1,classic_markers
Ifng,M1,classic_markers
Tnf,M1,classic_markers
Ccl5,M1,classic_markers
Ccl20,M1,classic_markers
Cxcl1,M1,classic_markers
Cxcl9,M1,classic_markers
Cxcl10,M1,classic_markers
Fcgr3,M1,classic_markers
Fcgr2b,M1,classic_markers
Cd40,M1,classic_markers
Cd86,M1,classic_markers
Cd68,Pan,classic_markers
Itgam,Pan,classic_markers
Cd14,Pan,classic_markers
Ptprc,Pan,classic_markers
Cd80,Pan,classic_markers
Csf1r,Pan,classic_markers
Aif1,Pan,classic_markers
Cx3cr1,Pan,classic_markers
Adgre1,Pan,classic_markers
Fcer1g,Pan,classic_markers
Tmem119,Pan,classic_markers
P2ry12,Pan,classic_markers
