Sample,Failed QC,rRNA,Unaligned,Unmapped,Mapped
PBS_22_CA1,2014172,66960,1581810.5,5172733,19665028.5
PBS_24_CA1,3092984,123083,1677347,9020784,31520885
PBS_26_CA1,2473003,77241,1284670.5,6537295.5,23988911
PBS_27_CA1,2710829,458261,1097764,7811560,28018187
PBS_37_CA1,2254132,74479,1308647,6621039.5,21728734.5
PBS_38_CA1,1966452,9681,517880.5,4406709,20864324.5
PBS_41_CA1,1935823,81025,611427,4478066,19552161
PBS_69_CA1,3079906,210906,1186081.5,9393190.5,31165722
PBS_71_CA1,1996489,41916,578244,5922922.5,19902181.5
PBS_72_CA1,1807186,47727,554989,4106292.5,20185792.5
PBS_87_CA1,1514728,13695,394538.5,2980341,16959723.5
PBS_88_CA1,3082794,323342,1330331,10628368,33779447
PBS_90_CA1,1535683,5355,415885,3423943,15560938
RML_118_CA1,1780474,55604,1119029,5260788.5,17961733.5
RML_120_CA1,2286586,69218,1095812.5,5722685,25322400.5
RML_122_CA1,3141087,525355,1644609.5,10672095.5,34211685
RML_121_CA1,1687885,55315,894690.5,4671558.5,15993405
RML_134_CA1,2064296,67864,632118.5,6102499.5,19359629
RML_135_CA1,2376648,78532,693590.5,5924140,23013999.5
RML_138_CA1,3264542,46092,870576,7899942,32752237
RML_165_CA1,1934110,41783,532770,5062632,20321554
RML_166_CA1,2040188,37546,570672,3969655,22013118
RML_167_CA1,1614967,49942,469806.5,4057707.5,17848875
RML_185_CA1,756204,70321,592893,5170772.5,20250935.5
RML_186_CA1,4122367,43774,392108,3486950,13853880
RML_195_CA1,1654001,215225,711677,4844335,17246070
PBS_22_TH,1890860,140101,1090002.5,5466830.5,15305412
PBS_24_TH,1896731,122811,935869,5603881,18880435
PBS_26_TH,2305306,148386,1228949.5,7543869,22408929.5
PBS_37_TH,5907157,381516,2796606.5,16496508.5,51833065
PBS_38_TH,5081559,217819,1821431.5,10407400,50452050.5
PBS_41_TH,1066687,52813,466106.5,2713109.5,12609918
PBS_69_TH,1281558,129346,691530.5,3727318.5,14118018
PBS_71_TH,1571168,73643,647681,3480830.5,17961791.5
PBS_72_TH,1422189,32602,662148,3072435,15275426
PBS_87_TH,1581338,100999,689161.5,3367158,18613820.5
PBS_88_TH,1256709,126235,716837,3442487.5,13785629.5
PBS_90_TH,1318234,82900,655289.5,3089978,14816532.5
RML_118_TH,1736561,103076,784289,4966863,18990666
RML_120_TH,2258266,168124,1131420.5,6420955,26026561.5
RML_121_TH,2895963,201801,1591777,9988098.5,24782351.5
RML_134_TH,1321373,93959,607083,3557276,15508151
RML_135_TH,1362798,136074,641237,3340099,15783962
RML_138_TH,1441910,110188,636746,4039374,17192615
RML_165_TH,1205154,14951,576837,2842674,13343642
RML_166_TH,1413082,144963,745116.5,3657181,15404713.5
RML_167_TH,1559872,96729,687605,4001046.5,16614830.5
RML_185_TH,1846406,152772,1050056,6433334,17358558
RML_186_TH,1579051,62975,787221.5,4558481.5,14911350
RML_195_TH,2249841,15801,900595.5,4402424.5,22770150
