Sample,Experiment,Prions,Time,dpi,Treatment,Prion_score,Prion_time_A,Prion_time_B,Prion_time_C,Prion_time_D
PBS_22_CA1,RML_CA1,neg,A,70,0,0,0,0,0,0
PBS_24_CA1,RML_CA1,neg,A,70,0,0,0,0,0,0
PBS_26_CA1,RML_CA1,neg,A,70,0,0,0,0,0,0
PBS_27_CA1,RML_CA1,neg,A,70,0,0,0,0,0,0
PBS_37_CA1,RML_CA1,neg,B,90,0,0,0,0,0,0
PBS_38_CA1,RML_CA1,neg,B,90,0,0,0,0,0,0
PBS_41_CA1,RML_CA1,neg,B,90,0,0,0,0,0,0
PBS_69_CA1,RML_CA1,neg,C,130,0,0,0,0,0,0
PBS_71_CA1,RML_CA1,neg,C,130,0,0,0,0,0,0
PBS_72_CA1,RML_CA1,neg,C,130,0,0,0,0,0,0
PBS_87_CA1,RML_CA1,neg,D,150,0,0,0,0,0,0
PBS_88_CA1,RML_CA1,neg,D,150,0,0,0,0,0,0
PBS_90_CA1,RML_CA1,neg,D,150,0,0,0,0,0,0
RML_118_CA1,RML_CA1,pos,A,70,1,1,1,0,0,0
RML_120_CA1,RML_CA1,pos,A,70,1,1,1,0,0,0
RML_122_CA1,RML_CA1,pos,A,70,1,1,1,0,0,0
RML_121_CA1,RML_CA1,pos,A,70,1,1,1,0,0,0
RML_134_CA1,RML_CA1,pos,B,90,1,2,0,1,0,0
RML_135_CA1,RML_CA1,pos,B,90,1,2,0,1,0,0
RML_138_CA1,RML_CA1,pos,B,90,1,2,0,1,0,0
RML_165_CA1,RML_CA1,pos,C,130,1,4,0,0,1,0
RML_166_CA1,RML_CA1,pos,C,130,1,4,0,0,1,0
RML_167_CA1,RML_CA1,pos,C,130,1,4,0,0,1,0
RML_185_CA1,RML_CA1,pos,D,150,1,5,0,0,0,1
RML_186_CA1,RML_CA1,pos,D,150,1,5,0,0,0,1
RML_195_CA1,RML_CA1,pos,D,150,1,5,0,0,0,1
PBS_22_TH,RML_TH,neg,A,70,0,0,0,0,0,0
PBS_24_TH,RML_TH,neg,A,70,0,0,0,0,0,0
PBS_26_TH,RML_TH,neg,A,70,0,0,0,0,0,0
PBS_37_TH,RML_TH,neg,B,90,0,0,0,0,0,0
PBS_38_TH,RML_TH,neg,B,90,0,0,0,0,0,0
PBS_41_TH,RML_TH,neg,B,90,0,0,0,0,0,0
PBS_69_TH,RML_TH,neg,C,130,0,0,0,0,0,0
PBS_71_TH,RML_TH,neg,C,130,0,0,0,0,0,0
PBS_72_TH,RML_TH,neg,C,130,0,0,0,0,0,0
PBS_87_TH,RML_TH,neg,D,150,0,0,0,0,0,0
PBS_88_TH,RML_TH,neg,D,150,0,0,0,0,0,0
PBS_90_TH,RML_TH,neg,D,150,0,0,0,0,0,0
RML_118_TH,RML_TH,pos,A,70,1,1,1,0,0,0
RML_120_TH,RML_TH,pos,A,70,1,1,1,0,0,0
RML_121_TH,RML_TH,pos,A,70,1,1,1,0,0,0
RML_134_TH,RML_TH,pos,B,90,1,2,0,1,0,0
RML_135_TH,RML_TH,pos,B,90,1,2,0,1,0,0
RML_138_TH,RML_TH,pos,B,90,1,2,0,1,0,0
RML_165_TH,RML_TH,pos,C,130,1,4,0,0,1,0
RML_166_TH,RML_TH,pos,C,130,1,4,0,0,1,0
RML_167_TH,RML_TH,pos,C,130,1,4,0,0,1,0
RML_185_TH,RML_TH,pos,D,150,1,5,0,0,0,1
RML_186_TH,RML_TH,pos,D,150,1,5,0,0,0,1
RML_195_TH,RML_TH,pos,D,150,1,5,0,0,0,1
